age,gender,region,monthly_income,monthly_expenses,transaction_count,loan_amount,num_loans,prev_defaults,default
59,Male,Rural,26689,11443.69287304211,9,25714,6,4,1
60,Female,Rural,94930,43528.585934736315,13,25625,9,3,0
34,Male,Rural,82052,67220.31181418126,50,48732,7,1,0
26,Female,Rural,98105,82991.77311777284,70,19924,4,2,1
25,Male,Kisumu,18807,15639.3230915236,21,42262,8,4,1
21,Male,Nairobi,40909,30849.092265056563,23,8588,5,2,0
27,Male,Rural,60129,33980.47715869469,71,22652,1,1,0
37,Female,Kisumu,60771,47619.99920913051,43,41298,8,3,0
42,Female,Kisumu,38591,25631.5656754903,10,4105,4,4,0
28,Female,Nairobi,81539,35624.24904597984,23,15843,8,1,0
64,Female,Kisumu,22640,11510.279086559081,19,44356,5,2,0
33,Female,Nairobi,46430,19627.037719626944,16,36121,7,3,0
41,Female,Kisumu,71203,40431.201796869085,40,38487,9,3,1
45,Male,Kisumu,32355,18771.482777683228,68,40810,5,0,0
26,Male,Rural,83752,50720.49264324367,33,29532,2,0,0
23,Female,Mombasa,10713,6516.927112776163,73,12136,1,1,0
47,Female,Kisumu,28793,19458.134807080707,9,3015,0,0,0
18,Female,Nairobi,13415,11974.806184838872,15,25833,8,2,1
44,Male,Rural,91704,75120.64776841509,5,2404,6,3,1
34,Female,Mombasa,65100,58580.81026546355,7,25574,4,4,0
54,Male,Rural,9809,8090.6956275773655,21,40765,0,0,1
62,Male,Kisumu,22100,11129.865521539024,69,39744,7,1,1
45,Female,Mombasa,12239,5031.359528854431,38,45125,2,2,1
29,Male,Rural,47944,32407.910739101964,9,26285,8,0,0
64,Male,Nairobi,20254,15748.874988206739,18,39441,2,2,0
55,Male,Mombasa,70215,28596.626849935168,42,44289,1,1,0
47,Male,Nairobi,30934,19140.024618941017,67,12209,3,0,0
55,Female,Kisumu,61800,48934.87809370133,34,6854,9,2,1
34,Male,Mombasa,44811,28216.294905437968,21,23833,0,0,0
37,Male,Rural,97705,69409.90969823021,70,6300,2,2,0
40,Female,Rural,85719,40798.073492590185,20,26071,3,3,0
21,Female,Nairobi,46240,39229.748037027,71,35434,1,0,0
36,Female,Rural,62108,30089.309448642998,46,38668,5,4,1
23,Male,Nairobi,21907,11022.876384557849,38,44928,9,4,1
44,Male,Nairobi,28624,12770.462870105815,51,7240,5,2,1
34,Female,Nairobi,69291,55647.64643907051,56,2302,7,1,0
45,Male,Kisumu,78686,52375.98855858075,6,18748,9,2,0
24,Male,Nairobi,10122,8579.441805534916,22,42441,5,2,1
32,Male,Mombasa,51271,27410.58484700286,32,27289,6,0,0
34,Male,Mombasa,11229,6330.333883802903,48,6632,0,0,1
30,Female,Mombasa,11168,8259.30735010283,71,18616,1,0,0
53,Male,Kisumu,31069,21543.88334789535,12,14199,0,0,0
61,Female,Mombasa,77274,45544.23794887997,10,21123,9,1,0
62,Female,Rural,8812,7638.646175486007,57,29285,4,3,1
47,Male,Nairobi,61138,27141.83679456766,28,29446,8,2,0
48,Male,Mombasa,9324,8309.449112027924,10,43427,3,2,1
23,Male,Kisumu,5117,2706.6443829944787,55,40328,1,0,1
28,Male,Nairobi,84239,53770.57436166241,49,34043,4,1,0
21,Male,Nairobi,96922,48437.105205742315,24,38976,0,0,0
43,Male,Rural,83477,45437.806346418416,41,3917,3,0,0
60,Female,Kisumu,52362,22301.59201754796,54,2009,4,1,0
61,Female,Kisumu,44809,25145.776719736183,6,36387,0,0,0
54,Female,Mombasa,24216,11099.355944627478,19,16231,5,2,0
47,Female,Mombasa,47078,40711.386526449576,66,14219,1,1,1
28,Female,Rural,75792,38085.54859377749,39,7415,5,3,0
46,Female,Nairobi,13007,10587.313559758819,18,32523,2,0,1
54,Female,Mombasa,24282,17788.959456472567,30,22611,8,4,0
59,Female,Mombasa,89056,66034.22531983808,76,11510,7,2,0
55,Female,Nairobi,76520,59211.53488554337,19,11184,8,0,0
50,Female,Nairobi,16246,9616.748391214596,57,38455,7,2,0
56,Male,Rural,72506,44646.58977312546,71,33110,2,1,0
32,Female,Mombasa,76324,49435.95643082813,31,35187,5,0,0
50,Female,Kisumu,49028,25702.662773411816,59,4336,3,1,0
19,Female,Nairobi,37265,24110.1100589658,78,45872,5,4,1
48,Female,Kisumu,34486,28389.7768663783,56,42631,7,4,0
46,Female,Kisumu,19382,11715.984621135516,49,22609,2,2,0
53,Male,Nairobi,76315,37455.314878850404,78,45879,5,1,0
63,Male,Nairobi,95474,45510.13593055232,17,9783,1,0,0
50,Male,Kisumu,61942,47264.706395938614,47,21915,3,3,0
21,Female,Kisumu,69644,59980.873451355794,76,2126,9,0,0
45,Male,Nairobi,70310,49453.0674555893,55,41964,7,0,0
39,Female,Nairobi,52882,33073.443819296655,50,24116,4,1,0
63,Female,Nairobi,52523,24283.029002419593,61,37840,5,2,0
57,Female,Mombasa,68374,40990.305437208146,77,11524,8,1,0
43,Male,Nairobi,18224,8330.803638107427,29,36393,5,1,0
24,Female,Kisumu,13666,10505.746028333911,21,8783,2,1,0
41,Female,Mombasa,72526,35012.40942989061,37,39148,5,1,0
45,Female,Mombasa,21241,15543.498659503475,75,6944,3,0,0
37,Male,Kisumu,57853,48036.272065516314,67,11916,7,0,0
24,Female,Mombasa,80520,44686.06065157428,55,26442,7,2,1
49,Female,Kisumu,7717,3822.5685701807574,49,44460,7,2,1
35,Female,Nairobi,38536,30357.266118479467,51,30865,5,3,0
47,Female,Mombasa,43565,34097.37319232539,8,14342,6,2,0
49,Female,Kisumu,80629,53480.3475941361,59,42411,1,0,0
46,Female,Nairobi,81534,42963.87509035338,63,10519,5,0,0
64,Female,Rural,73836,36125.91183372189,12,9970,7,2,0
33,Male,Nairobi,59771,43874.45834898205,18,49838,6,1,0
24,Male,Kisumu,9425,4172.958951651681,27,22079,2,0,1
35,Male,Kisumu,13705,11722.050984259933,73,24419,9,1,1
20,Male,Nairobi,81918,43746.81866446419,9,35572,5,0,0
51,Female,Mombasa,67516,36946.97511061606,28,47648,9,2,1
63,Male,Kisumu,91143,44756.095476807786,18,14808,7,1,0
62,Male,Nairobi,65774,33479.72593615802,26,43401,1,0,0
54,Female,Kisumu,86994,70577.53085053008,46,40243,8,1,0
34,Female,Kisumu,27180,19724.803077701832,31,42760,5,2,1
57,Male,Mombasa,51828,37964.96038419167,75,29529,0,0,0
43,Female,Rural,94563,74275.04627466432,50,22609,5,2,0
18,Female,Nairobi,24250,10795.335647003496,30,26063,3,0,1
56,Female,Mombasa,33769,20204.82633929741,28,6853,5,4,1
50,Female,Mombasa,64129,26651.471634172565,24,3762,3,2,0
34,Female,Nairobi,29058,20294.72975191348,77,34921,1,0,0
26,Male,Kisumu,20048,11543.03857520941,5,36008,7,1,0
42,Male,Rural,18350,8036.689040141283,48,11650,5,1,0
29,Female,Rural,56474,31472.862974627336,63,6090,0,0,0
34,Male,Nairobi,54481,40603.60601193547,51,22491,7,2,1
25,Female,Mombasa,17254,13859.803022600729,74,7319,8,1,1
42,Male,Kisumu,82454,61559.13444273464,30,29935,9,0,0
40,Female,Nairobi,92833,63495.229793946135,11,46813,4,0,0
25,Female,Rural,88441,54026.95569461313,43,21426,1,0,0
59,Female,Rural,71150,29776.546605003652,35,37435,1,0,0
54,Male,Kisumu,7983,4953.579873617788,43,30535,0,0,1
21,Male,Kisumu,59620,43571.94076915094,17,29345,0,0,0
33,Male,Nairobi,84273,70648.81069430111,70,10502,2,1,0
51,Male,Rural,34430,16964.916138363278,22,15919,2,2,0
56,Female,Nairobi,21371,9111.353129334677,66,10436,8,3,0
64,Female,Kisumu,15616,12245.078815454159,29,26574,6,3,1
22,Male,Rural,15816,8214.649668735736,7,46460,7,1,1
21,Male,Mombasa,37913,19593.58533277762,29,27280,4,0,0
32,Female,Mombasa,85688,51054.20174131102,72,33883,9,4,0
54,Male,Kisumu,42573,37939.57850925216,67,42970,1,0,0
24,Female,Mombasa,85435,36950.056947085526,76,17934,5,4,0
62,Male,Mombasa,39157,20178.968908716142,61,19320,0,0,0
20,Male,Nairobi,19199,11040.627425371025,9,10245,6,0,0
26,Female,Rural,81898,57216.97599195004,65,44874,9,2,0
35,Male,Nairobi,31685,28458.44952821803,7,30831,2,1,0
30,Female,Nairobi,12287,9509.349199740605,77,39443,4,1,0
28,Male,Nairobi,88560,52744.99724203922,33,19602,8,1,0
29,Female,Mombasa,99377,79974.4394789671,44,44520,4,2,0
51,Female,Kisumu,30559,16083.951831175342,42,16663,4,1,0
35,Female,Rural,99661,87807.41895524814,52,5020,4,4,1
34,Female,Rural,14516,9294.49737823681,62,3591,7,1,1
57,Male,Nairobi,97108,51808.49062980608,10,22695,2,0,0
58,Female,Mombasa,38130,19802.6254467539,57,48249,3,2,0
44,Female,Mombasa,7469,3694.2478403271048,9,11017,8,2,1
48,Male,Mombasa,52638,21190.61574909334,36,24890,4,1,0
53,Female,Rural,53845,41908.5274273999,16,35062,1,1,0
30,Female,Rural,65461,36868.73417574103,21,33966,1,1,0
41,Male,Kisumu,68852,54387.75757347327,74,12706,6,1,0
58,Female,Rural,47207,38712.607889952356,32,35339,4,4,0
39,Male,Rural,18507,9010.62778375857,72,49295,0,0,1
29,Female,Nairobi,68888,47607.47933031156,69,22953,7,2,0
35,Female,Mombasa,72889,65241.062370710955,51,26860,3,2,0
52,Male,Kisumu,26427,20590.110739408137,11,46064,5,2,1
28,Female,Nairobi,34241,13714.025209697167,50,15025,3,0,0
52,Male,Kisumu,11540,9544.790398643236,19,43846,3,3,1
19,Female,Mombasa,83797,43157.70423849254,79,24042,2,0,0
61,Male,Rural,98623,60768.27754161226,25,41214,4,2,1
37,Male,Nairobi,53901,42045.31546094594,73,7626,0,0,0
55,Male,Kisumu,24982,19309.050117278777,39,28431,0,0,0
42,Male,Mombasa,87711,51246.30706717741,19,25019,7,3,0
63,Female,Rural,10776,4801.594274308561,12,10782,1,1,0
24,Female,Nairobi,66788,31097.991445325653,57,7655,9,2,0
37,Female,Nairobi,5526,3540.8462572291755,75,13536,3,3,1
26,Female,Kisumu,70455,45499.64689533397,67,7109,4,4,0
19,Male,Mombasa,59615,36760.00246997263,68,22172,0,0,0
25,Male,Kisumu,31589,18834.839476665387,42,28143,8,0,0
55,Male,Rural,57648,24201.17302184105,55,48167,8,0,0
29,Female,Nairobi,57269,26987.88862321338,58,31781,3,0,0
27,Female,Mombasa,79663,32254.387508977215,6,8368,0,0,0
58,Female,Nairobi,50004,22064.478378079413,30,45201,5,1,0
63,Male,Nairobi,80897,64741.33109891374,48,8090,2,2,0
23,Female,Kisumu,88976,77240.61041088928,36,35320,1,1,0
25,Female,Kisumu,31289,22298.17875671711,66,26826,6,2,1
37,Female,Nairobi,71435,49914.344123555966,26,10601,2,2,0
58,Male,Kisumu,41877,18460.0093787475,16,12326,8,4,0
36,Female,Mombasa,25022,15891.25441722798,49,20311,6,4,1
49,Female,Mombasa,94899,64311.32281021513,22,18082,5,4,0
49,Female,Rural,7920,5121.376313263847,32,16025,2,2,1
46,Female,Kisumu,21309,8850.187084751762,11,32027,0,0,0
47,Female,Rural,64321,49614.213075051994,24,49908,3,3,1
61,Female,Nairobi,44443,28995.610542985694,54,17282,8,3,0
51,Female,Rural,27015,18994.094048427527,38,13171,5,1,0
29,Male,Rural,53364,33774.417316914274,25,21342,0,0,0
52,Female,Kisumu,24975,15051.31091128322,46,43899,1,0,0
54,Female,Rural,69324,30125.880634800604,45,37133,5,3,0
64,Male,Nairobi,75135,51821.16923108696,6,5814,5,0,0
42,Female,Mombasa,97152,58244.855879556315,39,45006,0,0,0
57,Female,Rural,91475,42575.83405710553,49,38142,9,2,1
31,Male,Rural,81367,53693.02343607875,14,13083,8,0,0
22,Male,Kisumu,84530,73903.87549279585,61,18959,5,3,1
45,Male,Nairobi,90112,63327.92723084784,51,8116,4,0,0
61,Male,Mombasa,84671,58649.66969391871,10,2619,3,1,0
31,Male,Mombasa,86537,39935.562428864156,41,27619,9,4,0
18,Female,Nairobi,44030,22558.79641105355,63,41748,0,0,0
31,Male,Rural,30611,14514.866862325252,57,37057,7,2,0
60,Female,Rural,70661,61892.38628489574,54,17398,7,2,1
40,Male,Kisumu,84141,39531.59811322547,49,14595,1,1,0
25,Male,Rural,15225,7523.807400165641,12,25196,5,4,0
64,Female,Nairobi,53320,43672.153622018624,47,24473,1,1,1
34,Male,Kisumu,29089,24273.388546750717,76,39208,3,0,0
18,Male,Kisumu,36890,32110.445947655604,18,21508,4,0,0
43,Female,Nairobi,13125,9567.109811457423,68,42901,8,0,0
58,Male,Mombasa,92128,76961.5869363355,77,21614,8,2,1
21,Female,Rural,34165,29478.84029851976,23,38321,1,0,0
58,Female,Mombasa,30426,25388.98521634871,5,3367,5,0,0
38,Male,Mombasa,8726,6240.000768960057,75,36958,4,2,1
46,Male,Kisumu,88360,45838.699702027785,39,24443,5,1,0
28,Male,Nairobi,81743,60008.05939614135,78,27537,8,2,0
38,Male,Nairobi,98977,86678.0467000304,70,45461,4,4,1
43,Female,Nairobi,9760,5759.354619674983,52,13556,3,2,1
60,Male,Nairobi,96055,64808.9923362186,50,28987,4,2,0
33,Male,Mombasa,64182,27960.255146340267,19,10906,2,2,0
21,Female,Rural,83612,53477.53409011914,23,48881,3,3,0
63,Female,Kisumu,41378,35783.81599798353,32,33010,7,1,0
53,Female,Nairobi,69157,52426.2160886267,53,45596,3,1,0
42,Male,Rural,91365,44821.35516011804,78,31734,6,0,0
59,Male,Rural,79172,41825.09435560219,40,44435,5,0,0
61,Male,Nairobi,76031,50427.53011535307,51,13130,6,4,1
39,Male,Mombasa,14435,7420.165754041421,13,18393,7,1,0
59,Female,Nairobi,76831,44309.25899660357,30,36084,3,1,0
41,Male,Kisumu,60826,50217.16279531532,43,38041,8,1,1
36,Female,Kisumu,86571,41108.411105000894,59,28160,2,1,0
50,Female,Kisumu,22014,14698.286626982168,26,13695,4,2,1
45,Female,Nairobi,45390,30563.29778154582,14,11160,8,0,0
19,Female,Kisumu,22727,10641.233128178437,22,30482,9,4,1
56,Male,Nairobi,60754,54412.983320691375,64,40467,9,1,0
49,Female,Nairobi,96302,75723.35694941522,40,47799,4,0,0
53,Female,Nairobi,19210,11537.40991434443,74,4472,6,3,0
30,Male,Nairobi,77240,63022.55343376992,64,12756,4,1,0
20,Female,Rural,50113,28389.06243454274,74,7249,6,3,1
19,Female,Nairobi,63576,57074.73383850693,34,34007,5,3,0
53,Female,Mombasa,47828,34315.63453026397,51,27592,6,1,0
47,Female,Rural,73619,42241.534021474814,16,22103,3,2,0
33,Female,Mombasa,86437,44715.67881466992,9,43323,0,0,0
47,Female,Nairobi,18395,13093.429365405384,76,28342,0,0,1
33,Female,Nairobi,15699,12418.129474168694,18,18163,0,0,0
40,Male,Rural,93177,53188.902531624706,6,32682,8,0,0
18,Female,Mombasa,60114,48851.22455515618,66,20073,3,1,1
23,Male,Rural,88362,70083.2580454852,19,6437,4,3,1
59,Male,Rural,17329,11608.113275245525,49,36594,7,1,0
47,Male,Nairobi,78165,62763.579450096935,11,31619,8,4,1
52,Male,Mombasa,11721,5589.693032629497,39,9373,3,1,0
27,Female,Rural,10656,7326.870331446018,58,31984,3,2,1
31,Male,Rural,36552,25700.678690336867,58,10429,3,2,0
52,Female,Mombasa,56112,45596.63273061118,17,37732,1,1,0
42,Male,Rural,36822,32460.71231946828,64,25563,3,1,0
46,Male,Kisumu,60099,49625.20583409675,36,20268,1,1,0
40,Male,Mombasa,77146,45765.35402603178,9,44913,9,0,0
19,Female,Nairobi,60677,54453.55176345498,35,32158,8,2,1
26,Female,Mombasa,34794,15215.93488002221,32,30861,2,2,0
33,Female,Rural,28291,20059.04995862939,8,36406,7,0,0
54,Male,Nairobi,71918,36707.0417644618,56,35187,5,1,0
54,Female,Nairobi,37371,22512.2610466715,11,32874,5,4,0
39,Male,Kisumu,74252,30110.346723177958,6,26282,4,4,0
27,Female,Kisumu,29022,13598.398939833505,43,27476,0,0,0
30,Male,Rural,27740,22667.787685792624,57,37153,4,4,1
49,Female,Mombasa,5163,3023.9912173888383,64,12634,4,3,0
43,Male,Kisumu,15749,7481.1582101327795,56,39487,1,1,1
52,Female,Mombasa,19056,13473.366732968167,33,21877,9,4,1
59,Male,Kisumu,58352,26321.114677288333,13,27000,0,0,0
19,Male,Kisumu,54723,23980.079899514247,14,26817,9,3,1
57,Female,Kisumu,95900,77925.08879478135,38,30602,5,0,0
32,Male,Nairobi,78616,34066.3584103596,49,33186,4,3,0
18,Male,Rural,27614,20437.504947529735,76,30758,0,0,0
62,Male,Mombasa,33082,14411.457533965144,28,13280,4,3,0
38,Male,Rural,99439,57339.083405018384,15,6531,2,2,0
45,Female,Mombasa,62906,30638.660924262957,9,43732,5,1,0
55,Male,Rural,33270,14674.92568847037,12,37144,1,0,0
20,Male,Nairobi,82360,43461.927299337345,72,28189,8,0,0
42,Male,Rural,66558,28019.294764581424,14,36964,3,3,0
44,Female,Rural,92527,42282.832770105815,17,44676,1,0,0
27,Male,Kisumu,50838,23151.827590648518,22,28806,8,0,0
57,Male,Nairobi,43714,29508.95954259392,26,14275,3,0,0
61,Female,Rural,98471,63811.563361323555,25,14258,9,0,0
29,Male,Rural,55408,37234.63530967895,25,30044,4,3,0
49,Female,Rural,99463,66890.2062171231,26,25387,1,1,0
46,Male,Kisumu,60731,49124.860433771064,27,22567,5,2,0
54,Female,Nairobi,72260,55763.901390947896,7,10894,5,2,0
40,Female,Rural,56612,25298.683395793127,29,38068,7,1,0
33,Male,Nairobi,70095,36683.477504321585,9,18832,3,3,1
52,Male,Nairobi,26727,22448.2276098851,14,36196,6,2,1
44,Male,Mombasa,81865,47292.778857729034,17,21363,5,1,0
43,Female,Rural,15805,12902.257409015008,18,15944,1,0,1
37,Male,Nairobi,41751,19808.51249471495,74,14087,2,0,0
21,Male,Mombasa,14596,10533.679082996203,14,49639,5,2,0
43,Male,Kisumu,72364,52935.78580683681,58,4023,6,4,0
27,Male,Kisumu,97197,46989.166400069946,64,35848,3,0,0
24,Female,Rural,73099,47883.85493697581,7,18087,4,1,0
21,Male,Kisumu,41727,29281.664932035135,38,18029,1,0,0
48,Female,Rural,65603,53304.058228021306,53,5390,2,1,0
41,Male,Nairobi,47092,36400.35496672678,62,39861,4,3,1
36,Male,Nairobi,62775,36832.057236475244,59,8256,6,0,0
35,Male,Nairobi,6651,2868.384175547199,51,48026,8,3,1
62,Female,Rural,82984,50672.02422727763,8,32447,5,3,0
28,Female,Nairobi,19472,17041.04496253224,73,32268,9,1,1
20,Female,Nairobi,59220,44422.46051915227,74,26570,2,0,0
36,Male,Rural,88369,73024.96119419836,30,18370,4,4,1
54,Female,Rural,47963,38433.79053386583,78,27279,4,3,0
23,Male,Nairobi,31201,13737.823915368024,43,7105,2,0,0
41,Female,Rural,73920,29827.799372951366,45,15493,8,3,1
41,Female,Mombasa,67424,59218.99210596553,34,3431,9,3,1
24,Female,Kisumu,5162,2776.155446130358,18,19015,9,1,1
42,Male,Mombasa,37972,20279.68743553342,77,32508,3,3,1
60,Male,Mombasa,7643,5425.381410722067,61,17892,3,1,1
50,Female,Nairobi,35682,20469.752283784015,19,16289,7,2,1
37,Male,Mombasa,82454,69349.4049700065,25,13929,7,0,1
54,Male,Rural,23745,21127.71735243241,73,36521,4,0,0
36,Female,Kisumu,62714,55564.77112125611,16,18376,8,0,1
21,Female,Kisumu,96006,50449.55264431832,75,35365,6,0,0
34,Female,Mombasa,80415,36780.569415681566,32,25481,8,0,0
34,Female,Rural,72169,31816.61823859962,74,45617,0,0,0
27,Male,Nairobi,18140,8534.503821622448,26,48136,1,1,0
51,Male,Nairobi,81943,49647.85188702969,43,29733,7,3,1
27,Female,Mombasa,21994,9368.966483364291,67,12800,6,4,0
37,Female,Kisumu,79905,45154.917379278515,19,8519,7,4,0
32,Male,Nairobi,23133,11122.575547238033,18,29624,7,1,0
45,Female,Mombasa,44961,30528.085998203136,70,18280,7,2,0
25,Female,Mombasa,96179,64377.50011264705,10,28390,8,2,0
60,Female,Rural,37658,23368.14766770401,15,4551,9,3,0
45,Male,Rural,26800,18459.75110280751,76,8710,8,1,0
59,Female,Rural,11971,8953.704171799367,16,16721,6,2,1
62,Male,Rural,70794,60075.30491112462,44,8629,0,0,0
45,Male,Rural,90120,37552.26509649434,12,35380,4,3,0
47,Female,Rural,16205,14323.241994230208,23,4591,8,3,1
28,Male,Kisumu,85685,47969.32626883404,5,27150,6,4,0
38,Female,Mombasa,61481,29693.93645884008,63,10438,4,0,0
20,Female,Kisumu,31819,24172.156455082128,38,26217,4,2,0
45,Male,Nairobi,54416,44051.48008514794,54,2645,2,0,0
28,Male,Rural,92489,74991.78751617191,77,45732,7,1,0
39,Male,Nairobi,14346,12049.36258877551,34,43945,4,3,1
43,Female,Nairobi,95301,72384.79990513489,39,20099,1,0,0
64,Male,Kisumu,34009,26337.017446892547,61,20710,5,0,0
22,Female,Nairobi,60915,38720.2289010296,19,34602,2,0,0
37,Male,Rural,32516,23999.694804222407,70,39346,7,3,0
64,Female,Kisumu,72494,35055.634019797355,24,30795,0,0,0
25,Male,Rural,41598,22447.863363763285,67,11794,3,1,0
42,Female,Rural,68278,37734.20119174971,67,39396,2,0,0
63,Female,Nairobi,13179,11454.559601166276,21,35160,2,0,0
32,Male,Kisumu,15449,11206.461645617543,10,9418,6,2,0
44,Female,Kisumu,88297,55055.631675737975,42,2141,3,0,0
25,Male,Rural,20037,11825.84289986005,34,8142,3,0,0
42,Male,Mombasa,28383,11738.854240853216,26,20351,8,2,0
63,Female,Rural,20282,16489.662022950706,23,26264,3,0,1
24,Female,Mombasa,33365,25468.688825213172,23,6493,7,4,0
53,Female,Kisumu,36655,19487.920026736774,13,8816,7,3,0
42,Male,Kisumu,51733,36170.61386758798,63,28957,8,3,1
21,Male,Mombasa,55139,45552.088885027675,45,7374,6,4,1
47,Female,Mombasa,64659,44705.45357483168,68,31165,1,0,0
38,Female,Nairobi,55500,29201.526183043534,71,9851,0,0,0
26,Female,Nairobi,90436,37650.57224726005,39,11168,1,1,0
49,Female,Mombasa,94388,70529.09482663267,44,28955,5,3,0
63,Male,Rural,69046,32366.133278007823,23,28649,3,0,0
39,Male,Nairobi,19567,17102.617750397305,42,32483,8,4,0
21,Female,Mombasa,23230,15243.105276194361,32,35539,5,3,1
62,Male,Mombasa,13770,9998.564026970578,70,36775,1,0,0
58,Female,Mombasa,47752,25522.463790552825,42,42197,5,0,0
35,Female,Rural,31512,13231.352544359903,10,43689,7,2,0
59,Female,Rural,29000,18131.746874038367,44,10333,2,0,0
37,Male,Nairobi,76344,50256.21037303992,53,19709,0,0,0
25,Male,Kisumu,42418,34865.99710888206,43,18724,4,0,1
